title,url,publishedDate,dateObject
Angry kin block road with suicide victim’s body,https://www.thehindu.com/news/cities/Coimbatore/angry-kin-block-road-with-suicide-victims-body/article26646527.ece,26 Mar 2019,2019-03-26 00:00:00
Karti's candidature widely welcomed: AICC secretary,https://www.thehindu.com/news/cities/Madurai/kartis-candidature-widely-welcome-aicc-secretary/article26645799.ece,26 Mar 2019,2019-03-26 00:00:00
SFI protests delay in disbursement of scholarship,https://www.thehindu.com/news/cities/Tiruchirapalli/sfi-protests-delay-in-disbursement-of-scholarship/article26644957.ece,26 Mar 2019,2019-03-26 00:00:00
General elections 2019 Latest Updates| Priyanka Gandhi moving about as ‘Ram bhakt’: Irani,https://www.thehindu.com/elections/lok-sabha-2019/general-election-2019-live-updates-march-25-2019/article26641206.ece,26 Mar 2019,2019-03-26 00:00:00
‘Drop sedition charges against Lukman’,https://www.thehindu.com/news/cities/kozhikode/drop-sedition-charges-against-lukman/article26640501.ece,26 Mar 2019,2019-03-26 00:00:00
Kalyan Singh faces flak over remarks backing Modi,https://www.thehindu.com/news/national/other-states/kalyan-singh-faces-flak-over-remarks-backing-modi/article26638485.ece,26 Mar 2019,2019-03-26 00:00:00
Students gherao JNU V-C’s house,https://www.thehindu.com/news/cities/Delhi/students-gherao-jnu-v-cs-house/article26638484.ece,26 Mar 2019,2019-03-26 00:00:00
Thapa quits GJM over BJP candidate in Darjeeling,https://www.thehindu.com/news/national/other-states/thapa-quits-gjm-over-bjp-candidate-in-darjeeling/article26638431.ece,26 Mar 2019,2019-03-26 00:00:00
Controversy dogs Fine Arts College again,https://www.thehindu.com/news/cities/Thiruvananthapuram/controversy-dogs-fine-arts-college-again/article26638317.ece,26 Mar 2019,2019-03-26 00:00:00
Vote for TDP will push A.P. back by 25 years: Sharmila,https://www.thehindu.com/news/national/andhra-pradesh/vote-for-tdp-will-push-stateap-back-by-25-years-sharmila/article26638228.ece,26 Mar 2019,2019-03-26 00:00:00
BJP fields Tejaswi Surya in Bengaluru South,https://www.thehindu.com/elections/lok-sabha-2019/bjp-fields-tejaswi-surya-in-bengaluru-south/article26638163.ece,26 Mar 2019,2019-03-26 00:00:00
Unsafe bridges: seven more to be demolished,https://www.thehindu.com/news/cities/mumbai/unsafe-bridges-seven-more-to-be-demolished/article26638149.ece,26 Mar 2019,2019-03-26 00:00:00
"With clock ticking down, heavyweights enter the fray",https://www.thehindu.com/elections/lok-sabha-2019/with-clock-ticking-down-heavyweights-enter-the-fray/article26637680.ece,26 Mar 2019,2019-03-26 00:00:00
EC says can’t allot ‘pressure cooker’ to AMMK,https://www.thehindu.com/elections/lok-sabha-2019/ec-says-cant-allot-pressure-cooker-to-ammk/article26637666.ece,26 Mar 2019,2019-03-26 00:00:00
GJM splits over BJP candidate in Darjeeling,https://www.thehindu.com/elections/lok-sabha-2019/gjm-splits-over-bjp-candidate-in-darjeeling/article26637485.ece,26 Mar 2019,2019-03-26 00:00:00
Too many nominations leave officials stumped,https://www.thehindu.com/news/cities/Hyderabad/too-many-nominations-leave-officials-stumped/article26637392.ece,26 Mar 2019,2019-03-26 00:00:00
"Conciliatory talks fail, church stand-off continues",https://www.thehindu.com/news/national/kerala/conciliatory-talks-fail-church-stand-off-continues/article26637354.ece,26 Mar 2019,2019-03-26 00:00:00
Protest over poor water supply,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/protest-over-poor-water-supply/article26639392.ece,26 Mar 2019,2019-03-26 00:00:00
