title,url,publishedDate,dateObject,src,lang,og_title
"Hathras accident: 60 booked for rioting & damaging ambulance, police vehicle",https://timesofindia.indiatimes.com/city/agra/hathras-accident-60-booked-for-rioting-damaging-ambulance-police-vehicle/articleshow/67906010.cms,08 Feb 2019,2019-02-08 00:00:00,timesofindia,en,
2013 Muzaffarnagar riots: Local court gives life sentence to 7 convicts,https://timesofindia.indiatimes.com/india/2013-muzaffarnagar-riots-local-court-gives-life-sentence-to-7-convicts/articleshow/67899875.cms,08 Feb 2019,2019-02-08 00:00:00,timesofindia,en,
"UP: 60 booked for rioting over death of pregnant woman, her toddler in accident",https://timesofindia.indiatimes.com/city/agra/up-60-booked-for-rioting-over-death-of-pregnant-woman-her-toddler-in-accident/articleshow/67899217.cms,08 Feb 2019,2019-02-08 00:00:00,timesofindia,en,
"
'Dokyala Shot' trailer: Survat Joshi and Prajakta Mali starrer is a complete laugh riot
",https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/dokyala-shot-trailer-survat-joshi-and-prajakta-mali-starrer-is-a-complete-laugh-riot/articleshow/67884252.cms,07 Feb 2019,2019-02-07 00:00:00,timesofindia,en,
All 7 accused held guilty in Kawal murders that triggered Muzaffarnagar riots in 2013,https://timesofindia.indiatimes.com/city/meerut/all-7-accused-held-guilty-in-kawal-murders-that-triggered-muzaffarnagar-riots-in-2013/articleshow/67874634.cms,07 Feb 2019,2019-02-07 00:00:00,timesofindia,en,
"
Will go in appeal, say Muzaffarnagar convicts' families
",https://timesofindia.indiatimes.com/india/will-go-in-appeal-say-muzaffarnagar-convicts-families/articleshow/67876774.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
"26 years on, 5 absconding accused in ’93 Mumbai riots let off",https://timesofindia.indiatimes.com/city/mumbai/26-years-on-5-absconding-accused-in-93-mumbai-riots-let-off/articleshow/67876772.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
"26 years on, 5 absconding accused in ’93 riots acquitted",https://timesofindia.indiatimes.com/city/mumbai/26-years-on-5-absconding-accused-in-93-riots-acquitted/articleshow/67873240.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
"
UP: Agra Congress workers booked for riot, assault
",https://timesofindia.indiatimes.com/city/agra/up-agra-congress-workers-booked-for-riot-assault/articleshow/67868611.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
UP government forms SIT to probe 2 anti-Sikh riot cases,https://timesofindia.indiatimes.com/city/lucknow/up-government-forms-sit-to-probe-2-anti-sikh-riot-cases/articleshow/67865039.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
UP govt constitutes SIT to probe 1984 Kanpur riots,https://timesofindia.indiatimes.com/india/up-govt-constitutes-sit-to-probe-1984-kanpur-riots/articleshow/67861386.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
UP recommends withdrawal of 38 cases against Muzaffarnagar riots accused,https://timesofindia.indiatimes.com/india/up-recommends-withdrawal-of-38-cases-against-muzaffarnagar-riots-accused/articleshow/67859152.cms,06 Feb 2019,2019-02-06 00:00:00,timesofindia,en,
31 booked for rioting at Azossim site,https://timesofindia.indiatimes.com/city/goa/31-booked-for-rioting-at-azossim-site/articleshow/67841899.cms,04 Feb 2019,2019-02-04 00:00:00,timesofindia,en,
"
Dalit rights group gives ultimatum: Absolve ‘innocents’ in Vikasnagar riot case, trace body of youth
",https://timesofindia.indiatimes.com/city/dehradun/dalit-rights-group-gives-ultimatum-absolve-innocents-in-vikasnagar-riot-case-trace-body-of-youth/articleshow/67840173.cms,04 Feb 2019,2019-02-04 00:00:00,timesofindia,en,
50 booked for rioting in Agra district,https://timesofindia.indiatimes.com/city/agra/50-booked-for-rioting-in-agra-district/articleshow/67840111.cms,04 Feb 2019,2019-02-04 00:00:00,timesofindia,en,
"Caste riot: 11 years on, 35 get three years in jail each",https://timesofindia.indiatimes.com/city/gurgaon/34-get-3-years-in-jail-each-in-11-year-old-caste-riot/articleshow/67812785.cms,03 Feb 2019,2019-02-03 00:00:00,timesofindia,en,
"
Mamata: BJP destroying India by promoting riots
",https://timesofindia.indiatimes.com/city/kolkata/mamata-bjp-destroying-india-by-promoting-riots/articleshow/67812987.cms,03 Feb 2019,2019-02-03 00:00:00,timesofindia,en,
"
BJP can instigate riots, says its ally in UP government
",https://timesofindia.indiatimes.com/india/bjp-can-instigate-riots-says-its-ally-in-up-government/articleshow/67798457.cms,01 Feb 2019,2019-02-01 00:00:00,timesofindia,en,
"
Poor across all religion benefited under Modi govt; no major riot happened in BJP-ruled states: Amit Shah
",https://timesofindia.indiatimes.com/politics/news/poor-across-all-religion-benefited-under-modi-govt-no-major-riot-happened-in-bjp-ruled-states-amit-shah/articleshow/67780211.cms,31 Jan 2019,2019-01-31 00:00:00,timesofindia,en,
"
Poor across all religion benefited under Modi govt; no major riot happened in BJP-ruled states: Amit Shah
",https://timesofindia.indiatimes.com/india/poor-across-all-religion-benefited-under-modi-govt-no-major-riot-happened-in-bjp-ruled-states-amit-shah/articleshow/67780204.cms,31 Jan 2019,2019-01-31 00:00:00,timesofindia,en,
1984 riots: Delhi court directs CBI to expedite investigation in Tytler case,https://timesofindia.indiatimes.com/india/1984-riots-delhi-court-directs-cbi-to-expedite-investigation-in-tytler-case/articleshow/67776794.cms,31 Jan 2019,2019-01-31 00:00:00,timesofindia,en,
"
Ready to testify against SIT report on Gujarat riots: Zameeruddin Shah
",https://timesofindia.indiatimes.com/city/jaipur/ready-to-testify-against-sit-report-on-guj-riots-shah/articleshow/67731143.cms,29 Jan 2019,2019-01-29 00:00:00,timesofindia,en,
1984 anti-Sikh riots: Sajjan Kumar produced in Delhi court,https://timesofindia.indiatimes.com/india/1984-anti-sikh-riots-sajjan-kumar-produced-in-delhi-court/articleshow/67721082.cms,28 Jan 2019,2019-01-28 00:00:00,timesofindia,en,
Muzaffarnagar riots: UP govt to withdraw 18 cases,https://timesofindia.indiatimes.com/india/muzaffarnagar-riots-up-govt-to-withdraw-18-cases/articleshow/67716426.cms,27 Jan 2019,2019-01-27 00:00:00,timesofindia,en,
Court winds up trial in Kawal twin murders which fuelled ’13 Muzaffarnagar riots,https://timesofindia.indiatimes.com/city/meerut/court-winds-up-trial-in-kawal-twin-murders-which-fuelled-13-muzaffarnagar-riots/articleshow/67678692.cms,24 Jan 2019,2019-01-24 00:00:00,timesofindia,en,
"
Ti and Ti' trailer: Pushkar Jog, Sonalee Kulkarni and Prarthana Behere starrer romantic adventure promises a laughter riot
",https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/ti-and-ti-trailer-pushkar-jog-sonalee-kulkarni-and-prarthana-behere-starrer-romantic-adventure-promises-a-laughter-riot/articleshow/67660172.cms,23 Jan 2019,2019-01-23 00:00:00,timesofindia,en,
"
Sikh riots: New warrant for Sajjan Kumar
",https://timesofindia.indiatimes.com/city/delhi/sikh-riots-new-warrant-for-sajjan/articleshow/67648543.cms,22 Jan 2019,2019-01-22 00:00:00,timesofindia,en,
‘Get Rs 5cr from Hindu Munnani for damage caused during riot’,https://timesofindia.indiatimes.com/city/coimbatore/get-rs-5cr-from-hindu-munnani-for-damage-caused-during-riot/articleshow/67647768.cms,22 Jan 2019,2019-01-22 00:00:00,timesofindia,en,
1984 anti-Sikh riots: Delhi court issues production warrant against Sajjan Kumar,https://timesofindia.indiatimes.com/india/1984-anti-sikh-riots-delhi-court-issues-production-warrant-against-sajjan-kumar/articleshow/67637298.cms,22 Jan 2019,2019-01-22 00:00:00,timesofindia,en,
"
Rakhi creates a laughter riot on Kanala Khada
",https://timesofindia.indiatimes.com/tv/news/marathi/rakhi-creates-a-laughter-riot-on-kanala-khada/articleshow/67629978.cms,21 Jan 2019,2019-01-21 00:00:00,timesofindia,en,
"
Tanikella Bharani’s Gardabhandam is a thought-provoking laugh riot
",https://timesofindia.indiatimes.com/entertainment/events/hyderabad/tanikella-bharanis-gardabhandam-is-a-thought-provoking-laugh-riot/articleshow/67611703.cms,21 Jan 2019,2019-01-21 00:00:00,timesofindia,en,
"
'Sarva Line Vyasta Aahet' trailer: Siddharth Jadhav and Sauraabh Gokhaale starrer romantic drama promises a laugh riot
",https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/sarva-line-vyasta-aahet-trailer-siddharth-jadhav-and-sauraabh-gokhaale-starrer-romantic-drama-promises-a-laugh-riot/articleshow/67584558.cms,18 Jan 2019,2019-01-18 00:00:00,timesofindia,en,
"
Riot baggage? SP may contest fewer seats in west UP
",https://timesofindia.indiatimes.com/city/lucknow/riot-baggage-sp-may-contest-fewer-seats-in-west-up/articleshow/67580079.cms,18 Jan 2019,2019-01-18 00:00:00,timesofindia,en,
